image_path,label
data/processed\FTP\flow_145988.png,FTP
data/processed\FTP\flow_017652.png,FTP
data/processed\FTP\flow_095189.png,FTP
data/processed\FTP\flow_128551.png,FTP
data/processed\BitTorrent\flow_006510.png,BitTorrent
data/processed\FTP\flow_012985.png,FTP
data/processed\FTP\flow_045658.png,FTP
data/processed\BitTorrent\flow_003861.png,BitTorrent
data/processed\FTP\flow_123756.png,FTP
data/processed\FTP\flow_128781.png,FTP
data/processed\FTP\flow_003360.png,FTP
data/processed\FTP\flow_179770.png,FTP
data/processed\FTP\flow_052858.png,FTP
data/processed\FTP\flow_146210.png,FTP
data/processed\FTP\flow_189203.png,FTP
data/processed\FTP\flow_107224.png,FTP
data/processed\FTP\flow_062416.png,FTP
data/processed\FTP\flow_000935.png,FTP
data/processed\FTP\flow_031206.png,FTP
data/processed\FTP\flow_009759.png,FTP
data/processed\FTP\flow_124105.png,FTP
data/processed\FTP\flow_160550.png,FTP
data/processed\FTP\flow_017925.png,FTP
data/processed\FTP\flow_030675.png,FTP
data/processed\FTP\flow_178965.png,FTP
data/processed\FTP\flow_020857.png,FTP
data/processed\FTP\flow_141608.png,FTP
data/processed\FTP\flow_179112.png,FTP
data/processed\FTP\flow_057952.png,FTP
data/processed\FTP\flow_197526.png,FTP
data/processed\FTP\flow_078369.png,FTP
data/processed\FTP\flow_090648.png,FTP
data/processed\FTP\flow_141862.png,FTP
data/processed\FTP\flow_164901.png,FTP
data/processed\FTP\flow_094262.png,FTP
data/processed\FTP\flow_114130.png,FTP
data/processed\FTP\flow_171623.png,FTP
data/processed\FTP\flow_175066.png,FTP
data/processed\FTP\flow_067729.png,FTP
data/processed\FTP\flow_001022.png,FTP
data/processed\FTP\flow_020111.png,FTP
data/processed\FTP\flow_117823.png,FTP
data/processed\FTP\flow_072631.png,FTP
data/processed\BitTorrent\flow_012519.png,BitTorrent
data/processed\FTP\flow_057654.png,FTP
data/processed\FTP\flow_201792.png,FTP
data/processed\FTP\flow_007319.png,FTP
data/processed\FTP\flow_005473.png,FTP
data/processed\FTP\flow_200660.png,FTP
data/processed\FTP\flow_097538.png,FTP
data/processed\FTP\flow_110432.png,FTP
data/processed\FTP\flow_037992.png,FTP
data/processed\FTP\flow_146241.png,FTP
data/processed\FTP\flow_160828.png,FTP
data/processed\FTP\flow_201431.png,FTP
data/processed\FTP\flow_158568.png,FTP
data/processed\FTP\flow_023168.png,FTP
data/processed\FTP\flow_092364.png,FTP
data/processed\FTP\flow_129544.png,FTP
data/processed\FTP\flow_047725.png,FTP
data/processed\FTP\flow_009045.png,FTP
data/processed\BitTorrent\flow_003503.png,BitTorrent
data/processed\FTP\flow_104106.png,FTP
data/processed\FTP\flow_061146.png,FTP
data/processed\FTP\flow_060643.png,FTP
data/processed\FTP\flow_159737.png,FTP
data/processed\FTP\flow_168973.png,FTP
data/processed\FTP\flow_092135.png,FTP
data/processed\FTP\flow_058094.png,FTP
data/processed\FTP\flow_141702.png,FTP
data/processed\FTP\flow_164194.png,FTP
data/processed\FTP\flow_001517.png,FTP
data/processed\FTP\flow_132177.png,FTP
data/processed\FTP\flow_050211.png,FTP
data/processed\FTP\flow_102121.png,FTP
data/processed\FTP\flow_182333.png,FTP
data/processed\BitTorrent\flow_007745.png,BitTorrent
data/processed\Skype\flow_006503.png,Skype
data/processed\FTP\flow_093488.png,FTP
data/processed\FTP\flow_083570.png,FTP
data/processed\FTP\flow_011915.png,FTP
data/processed\FTP\flow_017087.png,FTP
data/processed\FTP\flow_097425.png,FTP
data/processed\FTP\flow_105445.png,FTP
data/processed\FTP\flow_133713.png,FTP
data/processed\FTP\flow_042751.png,FTP
data/processed\FTP\flow_146117.png,FTP
data/processed\FTP\flow_081028.png,FTP
data/processed\BitTorrent\flow_002140.png,BitTorrent
data/processed\FTP\flow_050447.png,FTP
data/processed\Skype\flow_009906.png,Skype
data/processed\FTP\flow_201016.png,FTP
data/processed\FTP\flow_144288.png,FTP
data/processed\FTP\flow_133042.png,FTP
data/processed\FTP\flow_132678.png,FTP
data/processed\FTP\flow_194560.png,FTP
data/processed\FTP\flow_111100.png,FTP
data/processed\FTP\flow_041200.png,FTP
data/processed\FTP\flow_164783.png,FTP
data/processed\FTP\flow_161992.png,FTP
data/processed\FTP\flow_057098.png,FTP
data/processed\FTP\flow_063405.png,FTP
data/processed\FTP\flow_048466.png,FTP
data/processed\FTP\flow_163680.png,FTP
data/processed\FTP\flow_061101.png,FTP
data/processed\FTP\flow_057044.png,FTP
data/processed\FTP\flow_163134.png,FTP
data/processed\FTP\flow_024607.png,FTP
data/processed\FTP\flow_117245.png,FTP
data/processed\FTP\flow_153841.png,FTP
data/processed\FTP\flow_125202.png,FTP
data/processed\FTP\flow_081929.png,FTP
data/processed\FTP\flow_075853.png,FTP
data/processed\FTP\flow_094049.png,FTP
data/processed\FTP\flow_037910.png,FTP
data/processed\FTP\flow_188650.png,FTP
data/processed\FTP\flow_101269.png,FTP
data/processed\FTP\flow_091795.png,FTP
data/processed\BitTorrent\flow_010436.png,BitTorrent
data/processed\FTP\flow_011236.png,FTP
data/processed\FTP\flow_048189.png,FTP
data/processed\FTP\flow_002143.png,FTP
data/processed\FTP\flow_190970.png,FTP
data/processed\FTP\flow_152425.png,FTP
data/processed\BitTorrent\flow_009379.png,BitTorrent
data/processed\Skype\flow_010884.png,Skype
data/processed\FTP\flow_060729.png,FTP
data/processed\FTP\flow_185013.png,FTP
data/processed\FTP\flow_030830.png,FTP
data/processed\FTP\flow_154311.png,FTP
data/processed\FTP\flow_182024.png,FTP
data/processed\FTP\flow_043043.png,FTP
data/processed\Skype\flow_000730.png,Skype
data/processed\FTP\flow_201292.png,FTP
data/processed\FTP\flow_034768.png,FTP
data/processed\FTP\flow_018488.png,FTP
data/processed\BitTorrent\flow_005195.png,BitTorrent
data/processed\FTP\flow_104198.png,FTP
data/processed\FTP\flow_107144.png,FTP
data/processed\FTP\flow_157072.png,FTP
data/processed\FTP\flow_012562.png,FTP
data/processed\FTP\flow_150121.png,FTP
data/processed\FTP\flow_185735.png,FTP
data/processed\Skype\flow_004075.png,Skype
data/processed\FTP\flow_068468.png,FTP
